Market,Dma,Females,Males,Population,F0-5,F5-9,F10-17,F18+,F18-34,F18-49,F35-49,F50-64,F65+,M0-5,M5-9,M10-17,M18+,M18-34,M18-49,M35-49,M50-64,M65+,P0-5,P5-9,P10-17,P18+,P18-34,P18-49,P35-49,P50-64,P65+
567,Greenvll-Spart-Ashevll-And,6514895.0,6160884.0,12675779.0,356447.0,373016.0,634931.0,5150501.0,1427457.0,2662694.0,1235237.0,1295069.0,1192738.0,375272.0,387778.0,657827.0,4740007.0,1444809.0,2619977.0,1175168.0,1187447.0,932583.0,731719.0,760794.0,1292758.0,9890508.0,2872266.0,5282671.0,2410405.0,2482516.0,2125321.0
569,Harrisonburg,82033.0,81827.0,163860.0,4193.0,4457.0,7815.0,65568.0,15422.0,29775.0,14353.0,17965.0,17828.0,4327.0,4424.0,8462.0,64614.0,16756.0,31590.0,14834.0,17650.0,15374.0,8520.0,8881.0,16277.0,130182.0,32178.0,61365.0,29187.0,35615.0,33202.0
570,Myrtle Beach-Florence,418536.0,385125.0,803661.0,21880.0,22164.0,39618.0,334874.0,83283.0,156806.0,73523.0,89269.0,88799.0,22698.0,23318.0,40913.0,298196.0,80928.0,148685.0,67757.0,77379.0,72132.0,44578.0,45482.0,80531.0,633070.0,164211.0,305491.0,141280.0,166648.0,160931.0
571,Ft. Myers-Naples,3360930.0,3211943.0,6572873.0,172029.0,172334.0,288688.0,2727879.0,683055.0,1314427.0,631372.0,678147.0,735305.0,180641.0,175781.0,306310.0,2549211.0,711084.0,1336543.0,625459.0,619554.0,593114.0,352670.0,348115.0,594998.0,5277090.0,1394139.0,2650970.0,1256831.0,1297701.0,1328419.0
573,Roanoke-Lynchburg,426426.0,415722.0,842148.0,19204.0,21856.0,36496.0,348870.0,83876.0,155632.0,71756.0,94184.0,99054.0,20426.0,22308.0,38566.0,334422.0,90927.0,162680.0,71753.0,89763.0,81979.0,39630.0,44164.0,75062.0,683292.0,174803.0,318312.0,143509.0,183947.0,181033.0
574,Johnstown-Altoona-St Colge,363790.0,377348.0,741138.0,16835.0,17927.0,31166.0,297862.0,78795.0,139384.0,60589.0,76887.0,81591.0,18129.0,19129.0,32480.0,307610.0,93032.0,160937.0,67905.0,79963.0,66710.0,34964.0,37056.0,63646.0,605472.0,171827.0,300321.0,128494.0,156850.0,148301.0
575,Chattanooga,2140562.0,2041886.0,4182448.0,121615.0,122394.0,205632.0,1690921.0,490050.0,895509.0,405459.0,419508.0,375904.0,128329.0,129072.0,213432.0,1571053.0,487435.0,885123.0,397688.0,389864.0,296066.0,249944.0,251466.0,419064.0,3261974.0,977485.0,1780632.0,803147.0,809372.0,671970.0
576,Salisbury,228808.0,214323.0,443131.0,11383.0,11495.0,19361.0,186569.0,43908.0,78699.0,34791.0,50303.0,57567.0,11701.0,11045.0,20522.0,171055.0,44355.0,78078.0,33723.0,44543.0,48434.0,23084.0,22540.0,39883.0,357624.0,88263.0,156777.0,68514.0,94846.0,106001.0
577,Wilkes Barre-Scranton-Hztn,3034949.0,2975851.0,6010800.0,154030.0,164066.0,286085.0,2430768.0,607582.0,1146421.0,538839.0,650129.0,634218.0,161702.0,170072.0,302570.0,2341507.0,648192.0,1196502.0,548310.0,636484.0,508521.0,315732.0,334138.0,588655.0,4772275.0,1255774.0,2342923.0,1087149.0,1286613.0,1142739.0
581,Terre Haute,184718.0,189804.0,374522.0,10667.0,11177.0,17742.0,145132.0,39124.0,70727.0,31603.0,36991.0,37414.0,11298.0,12087.0,18954.0,147465.0,45370.0,80481.0,35111.0,37569.0,29415.0,21965.0,23264.0,36696.0,292597.0,84494.0,151208.0,66714.0,74560.0,66829.0
582,"Lafayette, In",98896.0,103101.0,201997.0,5792.0,5779.0,8977.0,78348.0,34213.0,49850.0,15637.0,15186.0,13312.0,6032.0,5683.0,9519.0,81867.0,41213.0,57104.0,15891.0,14553.0,10210.0,11824.0,11462.0,18496.0,160215.0,75426.0,106954.0,31528.0,29739.0,23522.0
583,Alpena,19503.0,19324.0,38827.0,836.0,841.0,1567.0,16259.0,2935.0,5925.0,2990.0,4871.0,5463.0,822.0,798.0,1790.0,15914.0,3228.0,6238.0,3010.0,4769.0,4907.0,1658.0,1639.0,3357.0,32173.0,6163.0,12163.0,6000.0,9640.0,10370.0
584,Charlottesville,107037.0,98098.0,205135.0,5544.0,5622.0,9784.0,86087.0,23029.0,42039.0,19010.0,22250.0,21798.0,5626.0,6073.0,9706.0,76693.0,21720.0,39508.0,17788.0,19654.0,17531.0,11170.0,11695.0,19490.0,162780.0,44749.0,81547.0,36798.0,41904.0,39329.0
