Market,Permanent households or heads,Residents in permanent households,Average residents per household,Variance of residents per household,"Average monthly income (heads, all)","Variance of income (heads, all)","Average monthly income (heads, with income)","Variance of income (heads, with income)","Average monthly income (ages 10+, all)","Variance of income (ages 10+, all)","Average monthly income (ages 10+, with income)","Variance of income (ages 10+, with income)",Municipality
2312601,3578,12301,3.425,3.165,447.0918181818182,460859.8431818181,539.8722727272727,485599.1259090909,269.8963636363637,252085.08727272728,467.23,323099.6063636364,Ceará SÃO LUÍS DO CURU
2313104,9120,29116,3.230985915492958,2.243943661971831,647.2076056338028,891905.8628169015,735.4894366197183,925683.2349295774,384.3080281690141,539021.820140845,617.460985915493,681810.7240845071,Ceará TABULEIRO DO NORTE
2313203,6919,25429,3.778,2.939538461538461,341.4869230769231,205038.39061538465,443.96446153846153,211007.9893846154,206.3555384615385,138311.51323076923,374.82169230769233,170737.23507692307,Ceará TAMBORIL
2313252,2488,8900,3.660869565217391,3.533478260869565,331.0434782608696,158018.28869565218,475.2495652173913,149508.98608695652,221.86739130434785,137063.41173913045,400.1173913043479,166606.9708695652,Ceará TARRAFAS
2313302,16256,55612,3.450222222222222,2.630888888888889,521.6004444444444,3374398.2167777778,603.5507777777777,3599797.481111111,311.6546666666666,1407448.8702222223,518.6197777777778,2181545.7115555555,Ceará TAUÁ
2313351,4288,16790,4.278333333333333,4.029333333333333,357.671,346985.142,448.53066666666666,389991.9373333333,215.744,176812.784,381.369,246031.69833333333,Ceará TEJUÇUOCA
2313401,18220,68736,3.8162,3.1502,655.1544,14824206.1398,739.7294999999999,16833763.6993,344.4048,4729885.6205,575.8339,8019764.0777,Ceará TIANGUÁ
2313500,13366,51301,3.8367676767676766,3.902323232323232,420.49909090909097,1018724.7809090908,485.5421212121212,1057302.66,237.0550505050505,437637.2557575757,418.1515151515151,610021.2960606061,Ceará TRAIRI
2313559,3819,14399,3.8129166666666654,3.672916666666667,374.195,297257.91791666666,481.31750000000005,336393.96375,208.20208333333332,151368.58625,425.1216666666666,231113.56958333333,Ceará TURURU
2313609,8736,31686,3.666346153846154,2.9036538461538464,635.6017307692308,809335.0651923077,689.1403846153846,835602.8873076923,351.01250000000005,532451.1815384616,550.0932692307692,652104.4732692308,Ceará UBAJARA
2313708,2155,7525,3.545384615384616,3.2423076923076923,414.3969230769231,829758.4223076924,558.3338461538461,1022326.4215384616,243.00384615384613,365839.4738461539,437.4323076923077,557142.6423076923,Ceará UMARI
2313757,4769,18769,3.954642857142858,4.416071428571429,386.9732142857143,296314.47464285715,478.4103571428571,328881.2560714286,212.575,164561.54535714287,414.3360714285714,231847.8478571429,Ceará UMIRIM
2313807,5222,19699,3.826285714285714,4.008571428571429,445.4051428571429,629366.9442857143,517.6297142857143,661143.064,253.28971428571427,286899.5954285714,446.9751428571428,379821.93,Ceará URUBURETAMA
2313906,3547,12859,3.591176470588235,3.4711764705882358,394.1502941176471,371241.6605882353,468.22029411764703,402005.3570588236,250.5879411764706,243854.3017647059,407.3911764705882,301348.3647058824,Ceará URUOCA
2313955,4877,17561,3.5716,3.2964,524.964,716235.7264,603.8116,758614.4468,294.06080000000003,348222.07480000006,498.946,466656.5028,Ceará VARJOTA
2314102,13562,54931,4.067901234567901,4.030864197530864,391.55493827160495,601544.9271604938,458.1717283950618,634996.4788888888,219.52,319743.7839506173,385.1956790123456,450490.304691358,Ceará VIÇOSA DO CEARÁ
2314003,11541,38364,3.2951612903225804,2.545376344086021,512.6864516129033,822233.0276344086,583.9209677419356,854599.9622580644,315.46344086021503,481726.0266666666,489.28548387096777,610164.6205376345,Ceará VÁRZEA ALEGRE
5300108,774019,2556502,3.3107129672358098,2.4362413474850024,2826.973687125058,22375035.820533,3063.332097369635,23089508.21333641,1706.1831910475312,13091653.375431472,2456.546536686664,15624872.409736965,Distrito Federal BRASÍLIA
3200102,9839,30965,3.1598360655737703,2.0281967213114758,802.0431147540983,2123128.225409836,884.8678688524591,2268982.252786885,492.2544262295082,1085140.8272131148,738.2401639344263,1495014.9813114754,Espírito Santo AFONSO CLÁUDIO
3200201,9949,30649,3.0908196721311474,2.3137704918032784,1060.819180327869,2060693.798852459,1129.291475409836,2112405.7278688527,665.864262295082,1423059.4359016395,973.0024590163936,1663999.7439344262,Espírito Santo ALEGRE
3200300,4580,13949,3.0542857142857143,1.779642857142857,885.3407142857143,2106003.343928572,957.6157142857144,2373801.8571428573,565.2835714285715,1261882.6135714285,807.9089285714286,1531487.5917857145,Espírito Santo ALFREDO CHAVES
3200359,2301,7315,3.2,1.9271428571428573,677.755,1171932.3485714286,738.625,1243940.53,420.3035714285714,650622.4685714286,636.3814285714286,820292.6635714285,Espírito Santo ALTO RIO NOVO
3200409,7339,23812,3.214385964912281,2.29578947368421,1166.4538596491227,8724732.21245614,1315.2349122807018,10407075.61017544,717.8194736842105,3717107.799122806,1097.7243859649122,5491272.360526316,Espírito Santo ANCHIETA
3200508,2457,7511,3.141111111111111,2.497777777777778,751.3022222222222,1796168.2294444444,832.955,1897866.483888889,461.93277777777774,918302.5994444444,694.8433333333334,1141595.4922222225,Espírito Santo APIACÁ
3200607,23806,81475,3.441470588235294,2.506764705882353,1350.3669852941175,11662739.459705882,1492.515294117647,12545238.550367646,772.3229411764705,5394197.316397059,1206.166617647059,7330661.219632353,Espírito Santo ARACRUZ
3200706,2970,9810,3.315,2.410625,695.503125,1334310.271875,871.715,1459272.26,490.694375,749926.436875,783.965,959983.621875,Espírito Santo ATILIO VIVACQUA
3200805,9349,28913,3.0822641509433963,2.141320754716981,796.8266037735849,1013691.2301886792,888.3935849056604,1019648.4686792452,514.3156603773584,870888.1179245283,774.7660377358491,1041173.445471698,Espírito Santo BAIXO GUANDU
3200904,12838,40128,3.143,2.179222222222222,884.2724444444445,2369025.3726666667,974.422,2433877.046888889,528.6274444444444,1312241.763888889,804.046111111111,1663388.372777778,Espírito Santo BARRA DE SÃO FRANCISCO
3201001,4377,14081,3.228695652173913,2.440434782608696,840.0004347826087,4319430.480869565,900.3434782608696,4469995.824347826,500.9991304347826,1862493.006521739,755.5773913043478,2517379.7604347826,Espírito Santo BOA ESPERANÇA
3201100,3174,9390,2.969523809523809,2.3071428571428574,891.7909523809524,2059407.243809524,990.0485714285714,2131879.948095238,585.4314285714286,1187810.0528571429,854.0171428571429,1446009.6266666667,Espírito Santo BOM JESUS DO NORTE
3201159,3492,11880,3.40125,2.5704166666666666,704.1633333333334,10488950.121666668,871.255,11553961.659583332,402.785,4169153.745416667,686.0324999999999,6146236.135000001,Espírito Santo BREJETUBA
3201209,59511,188942,3.1665294117647056,2.1645294117647063,1229.0079117647058,4647870.77317647,1345.9242941176472,4786166.279735294,751.9464705882352,2619242.746617648,1129.1418823529411,3230048.992764706,Espírito Santo CACHOEIRO DE ITAPEMIRIM
3201308,107931,347611,3.2269115191986644,2.3442404006677795,953.0527879799666,2505354.5347412354,1090.986427378965,2584648.676644407,611.1976460767946,1555544.8169115193,948.1667111853088,1934295.50903172,Espírito Santo CARIACICA
3201407,11037,34687,3.1965151515151518,1.9533333333333327,997.5336363636364,2403056.07939394,1078.804090909091,2454494.15,636.3618181818182,1373477.4975757576,909.8515151515152,1689690.0134848484,Espírito Santo CASTELO
3201506,36190,111022,3.076209677419355,1.9208064516129035,1176.175685483871,8426152.40653226,1283.8183870967744,9066663.046532258,769.062620967742,3784322.1415725807,1076.5237096774194,4855779.737822581,Espírito Santo COLATINA
3201605,8482,28362,3.313174603174603,2.68015873015873,872.6666666666666,2620173.01,968.7779365079364,2746000.9552380955,504.4806349206349,1316113.3642857142,816.8436507936508,1780962.5825396825,Espírito Santo CONCEIÇÃO DA BARRA
3201704,3630,11647,3.2515,2.43,866.1514999999999,2049171.743,921.5935,2151741.0905,547.933,1178528.157,780.929,1496778.9105,Espírito Santo CONCEIÇÃO DO CASTELO
3201803,1397,4506,3.1672727272727275,2.7572727272727278,547.7254545454546,382367.8272727272,605.6090909090909,374763.0845454545,355.69,321085.74818181817,542.7536363636364,366653.1409090909,Espírito Santo DIVINO DE SÃO LOURENÇO
3201902,9750,31758,3.2521311475409838,1.957704918032787,878.1770491803279,1361121.266885246,920.357049180328,1383243.4981967213,542.9939344262294,824784.481147541,772.9308196721312,966621.9655737703,Espírito Santo DOMINGOS MARTINS
3202009,2059,6385,3.1525,2.460833333333333,699.4741666666667,1817381.2199999995,761.6791666666667,1886096.333333333,435.03,970400.2975,650.6833333333333,1210528.3041666667,Espírito Santo DORES DO RIO PRETO
3202108,7600,22686,2.988358208955224,1.898358208955224,702.2135820895522,1012309.9988059702,782.9425373134328,1055404.1947761194,429.5680597014926,605524.5580597015,674.46,770781.9301492537,Espírito Santo ECOPORANGA
3202207,5319,16852,3.151212121212121,2.486666666666667,1039.5345454545454,1798420.4187878787,1149.455151515151,1829982.7424242424,639.3366666666667,1181470.985151515,996.8715151515152,1419827.4030303028,Espírito Santo FUNDÃO
3202256,3356,10855,3.280434782608696,2.0682608695652176,886.8860869565218,1821245.422608696,958.3895652173912,1955572.3495652173,535.8682608695652,923427.9269565216,801.453043478261,1154108.4752173913,Espírito Santo GOVERNADOR LINDENBERG
3202405,33379,104752,2.98239852398524,2.156715867158672,1636.7229520295202,8686435.563579336,1839.698560885609,9253871.47199262,1038.300442804428,5499419.684354244,1533.7622878228783,6983058.895793358,Espírito Santo GUARAPARI
3202306,8861,27675,3.1511764705882355,2.5321568627450985,959.756862745098,2081780.434901961,1041.2703921568627,2179589.565882353,558.3821568627451,1141587.105490196,852.289411764706,1401771.2531372549,Espírito Santo GUAÇUÍ
3202454,7103,22320,3.1527777777777777,2.000833333333333,756.5941666666666,2716554.294444444,815.2491666666667,2766098.885,477.56694444444446,1262775.6047222223,694.4705555555555,1665351.534166667,Espírito Santo IBATIBA
3202504,3454,11176,3.245,2.1733333333333333,1096.368888888889,14202928.34111111,1219.1244444444444,14767548.718333334,634.9388888888889,5604151.968888889,996.8316666666668,7817497.682222222,Espírito Santo IBIRAÇU
3202553,2693,8941,3.318333333333334,2.4394444444444443,733.1377777777777,11219670.938888889,791.5116666666668,11364950.408888888,402.0127777777777,4273534.562222224,642.1872222222222,6933948.540555555,Espírito Santo IBITIRAMA
3202603,4047,12492,3.119545454545454,1.6845454545454546,874.3277272727272,1163664.6763636365,955.9468181818182,1188603.7045454546,559.3518181818182,735285.5931818183,797.8781818181818,824665.8954545454,Espírito Santo ICONHA
3202652,3656,11635,3.1047368421052632,2.01,834.7442105263158,1548619.3642105262,856.3621052631579,1555447.3821052632,559.53,1222477.8789473684,738.0526315789474,1303640.6257894738,Espírito Santo IRUPI
3202702,4653,14116,3.06,2.0324,787.6652,925678.6928,854.658,958522.0368,526.9044,588919.0260000001,740.4508000000001,658235.8264,Espírito Santo ITAGUAÇU
3202801,9385,30914,3.26,2.3097222222222222,768.5136111111111,975424.3805555556,892.6691666666667,1024314.729861111,462.4680555555555,577350.9469444444,773.2111111111111,701016.9726388889,Espírito Santo ITAPEMIRIM
3202900,3373,10879,3.2352631578947366,2.1100000000000003,794.5373684210526,1614431.252631579,867.2457894736841,1776515.156315789,525.812105263158,886139.5352631578,761.1236842105263,1127027.4626315788,Espírito Santo ITARANA
3203007,8699,27273,3.1232786885245902,2.045245901639344,900.9813114754098,1883986.068688525,960.9411475409836,1995781.8218032783,540.9634426229509,1070642.7337704918,793.7811475409836,1339828.056885246,Espírito Santo IÚNA
