,DMA Code,DMA Name,total,0_10000,10000_14999,15000_19999,20000_24999,25000_29999,30000_34999,35000_39999,40000_49999,50000_59999,60000_69999,70000_79999,80000_89999,90000_99999,100000_124999,125000_149999,150000_174999,175000_199999,200000_249999,250000_299999,300000_399999,400000_499999,500000_749999,750000_999999,1000000_1499999,1500000_1999999,2000000_more
21,521,Providence-New Bedford,393874.0,2184.0,465.0,927.0,1181.0,1272.0,729.0,470.0,926.0,770.0,876.0,1379.0,1749.0,1429.0,7295.0,10344.0,22092.0,24143.0,67781.0,62934.0,90898.0,43669.0,35063.0,8342.0,3311.0,1035.0,2610.0
22,522,"Columbus, Ga (Opelika, Al)",133832.0,3042.0,2308.0,1576.0,1975.0,1851.0,2201.0,1208.0,4427.0,4709.0,4934.0,5309.0,6561.0,4762.0,12805.0,10870.0,13718.0,8574.0,14551.0,9946.0,9158.0,4076.0,3257.0,1217.0,353.0,136.0,308.0
23,523,Burlington-Plattsburgh,261193.0,2242.0,1227.0,1601.0,1814.0,1381.0,1498.0,1144.0,2801.0,3641.0,4235.0,5453.0,6407.0,5566.0,17337.0,19420.0,26195.0,20742.0,36677.0,30324.0,35217.0,15919.0,13196.0,3886.0,1813.0,586.0,871.0
24,524,Atlanta,2417879.0,24145.0,13278.0,13622.0,12905.0,11977.0,14721.0,10619.0,26353.0,36102.0,38853.0,48258.0,59727.0,51925.0,155343.0,177323.0,247469.0,179514.0,311196.0,245149.0,320496.0,176038.0,159595.0,46103.0,21242.0,6902.0,9024.0
25,525,"Albany, Ga",91267.0,2837.0,1499.0,1377.0,2414.0,1851.0,2578.0,1915.0,4657.0,5071.0,5358.0,5394.0,5222.0,4084.0,9301.0,7575.0,7195.0,5179.0,6330.0,4933.0,3640.0,1193.0,1074.0,236.0,99.0,122.0,133.0
26,526,Utica,48167.0,641.0,240.0,303.0,256.0,485.0,408.0,497.0,1343.0,1978.0,2316.0,2485.0,2478.0,2796.0,5513.0,4982.0,5223.0,2567.0,4228.0,2964.0,2999.0,1126.0,1234.0,447.0,397.0,134.0,127.0
27,527,Indianapolis,798775.0,9758.0,6136.0,5032.0,5072.0,5120.0,6772.0,5434.0,16269.0,21303.0,29009.0,33250.0,37160.0,34182.0,85274.0,83367.0,85792.0,56010.0,84617.0,57236.0,67483.0,28750.0,22990.0,7274.0,3252.0,833.0,1400.0
28,528,Miami-Ft. Lauderdale,927854.0,7432.0,3091.0,2846.0,2644.0,2586.0,3473.0,2634.0,6213.0,7576.0,10943.0,10047.0,12451.0,11757.0,35146.0,31914.0,54092.0,43155.0,104080.0,111326.0,187667.0,109362.0,92131.0,33011.0,20617.0,8420.0,13240.0
29,529,Louisville,474395.0,6757.0,3715.0,2884.0,3260.0,2549.0,2972.0,2599.0,6703.0,8467.0,11404.0,15010.0,20345.0,19823.0,50208.0,50179.0,54140.0,35286.0,54331.0,40914.0,43315.0,17002.0,14718.0,4377.0,1998.0,595.0,844.0
30,530,Tallahassee-Thomasville,174000.0,2537.0,2095.0,2132.0,2506.0,2273.0,2846.0,2629.0,5315.0,5878.0,7363.0,7038.0,7065.0,6066.0,15600.0,13566.0,16767.0,11758.0,17573.0,14239.0,15502.0,5684.0,4902.0,1185.0,671.0,333.0,477.0
