,DMA Code,DMA Name,universe,male_bachelors_degree,male_masters_degree,male_professional_school_degree,male_doctorate_degree,female_bachelors_degree,female_masters_degree,female_professional_school_degree,female_doctorate_degree,male_bachelors_or_higher,female_bachelors_or_higher,total_bachelors_or_higher
153,716,Baton Rouge,285109.0,15926.0,3643.0,1303.0,1293.0,22193.0,9154.0,1070.0,647.0,22165.0,33064.0,55229.0
154,717,Quincy-Hannibal-Keokuk,4369443.0,460717.0,194720.0,66774.0,34276.0,504405.0,273626.0,56510.0,30183.0,756487.0,864724.0,1621211.0
155,718,"Jackson, Ms",1471352.0,97294.0,35749.0,14978.0,8316.0,130723.0,68054.0,11575.0,8234.0,156337.0,218586.0,374923.0
156,722,Lincoln & Hastings-Krny,482685.0,43812.0,14516.0,4795.0,4596.0,52003.0,19719.0,3140.0,3188.0,67719.0,78050.0,145769.0
157,724,Fargo,660481.0,65344.0,17055.0,5481.0,3797.0,74801.0,24358.0,3583.0,3174.0,91677.0,105916.0,197593.0
158,725,Sioux Falls(Mitchell),1023874.0,95735.0,26037.0,10297.0,6332.0,108815.0,37884.0,6745.0,4544.0,138401.0,157988.0,296389.0
159,734,Jonesboro,147233.0,8156.0,2628.0,1203.0,729.0,10942.0,5441.0,852.0,384.0,12716.0,17619.0,30335.0
160,736,Bowling Green,147310.0,9879.0,3380.0,1551.0,894.0,11033.0,6392.0,1304.0,680.0,15704.0,19409.0,35113.0
161,737,Mankato,199531.0,18172.0,5985.0,1728.0,1376.0,21796.0,7640.0,1150.0,841.0,27261.0,31427.0,58688.0
162,740,North Platte,1284868.0,126895.0,43917.0,13858.0,9409.0,146056.0,57254.0,9946.0,7483.0,194079.0,220739.0,414818.0
163,743,Anchorage,369449.0,30912.0,12718.0,3985.0,2090.0,37107.0,16727.0,3416.0,1728.0,49705.0,58978.0,108683.0
164,744,Honolulu,995990.0,102089.0,33590.0,12643.0,8629.0,116424.0,44046.0,10376.0,6521.0,156951.0,177367.0,334318.0
165,745,Fairbanks,66336.0,5499.0,2308.0,522.0,1061.0,6626.0,3528.0,792.0,597.0,9390.0,11543.0,20933.0
166,746,Biloxi-Gulfport,247263.0,16250.0,5977.0,2504.0,946.0,19028.0,9352.0,1447.0,911.0,25677.0,30738.0,56415.0
167,747,Juneau,23658.0,2545.0,839.0,279.0,291.0,3379.0,1193.0,346.0,151.0,3954.0,5069.0,9023.0
168,749,Laredo,161111.0,9555.0,2868.0,771.0,321.0,11827.0,3596.0,470.0,290.0,13515.0,16183.0,29698.0
