,DMA Code,DMA Name,male_under_5,female_under_5,total_under_5,male_5_to_9,female_5_to_9,total_5_to_9,male_10_to_17,female_10_to_17,total_10_to_17,male_18_to_34,female_18_to_34,total_18_to_34,male_35_to_49,female_35_to_49,total_35_to_49,male_50_to_64,female_50_to_64,total_50_to_64,male_65_and_over,female_65_and_over,total_65_and_over
55,555,Syracuse,24868.0,23226.0,48094.0,25524.0,24243.0,49767.0,43830.0,41140.0,84970.0,115368.0,114451.0,229819.0,76466.0,77975.0,154441.0,92795.0,96718.0,189513.0,69093.0,85622.0,154715.0
56,556,Richmond-Petersburg,97074.0,91483.0,188557.0,100162.0,95371.0,195533.0,167476.0,161503.0,328979.0,380597.0,370358.0,750955.0,328886.0,330113.0,658999.0,318286.0,339803.0,658089.0,233132.0,290790.0,523922.0
57,557,Knoxville,63653.0,59877.0,123530.0,64274.0,60071.0,124345.0,108827.0,103290.0,212117.0,245402.0,239370.0,484772.0,200165.0,202763.0,402928.0,213875.0,229385.0,443260.0,177297.0,218745.0,396042.0
58,558,Lima,5840.0,5511.0,11351.0,6263.0,5510.0,11773.0,10150.0,10162.0,20312.0,20011.0,17586.0,37597.0,16378.0,15607.0,31985.0,18401.0,18558.0,36959.0,14427.0,17949.0,32376.0
59,559,Bluefield-Beckley-Oak Hill,57189.0,54163.0,111352.0,59298.0,58076.0,117374.0,101528.0,95240.0,196768.0,220468.0,208105.0,428573.0,195346.0,192874.0,388220.0,214430.0,224473.0,438903.0,193178.0,233005.0,426183.0
60,560,Raleigh-Durham (Fayetvlle),103468.0,99078.0,202546.0,104497.0,100799.0,205296.0,176968.0,171453.0,348421.0,391845.0,386534.0,778379.0,315071.0,332663.0,647734.0,291027.0,319620.0,610647.0,203362.0,267134.0,470496.0
61,561,Jacksonville,96670.0,93884.0,190554.0,99083.0,92738.0,191821.0,164704.0,159875.0,324579.0,371192.0,343857.0,715049.0,304495.0,304797.0,609292.0,334031.0,363542.0,697573.0,317197.0,378143.0,695340.0
62,563,Grand Rapids-Kalmzoo-B.Crk,89217.0,85476.0,174693.0,92943.0,89619.0,182562.0,156864.0,147085.0,303949.0,358606.0,344414.0,703020.0,262510.0,259389.0,521899.0,287817.0,296770.0,584587.0,218988.0,262382.0,481370.0
63,564,Charleston-Huntington,31468.0,29808.0,61276.0,33206.0,31298.0,64504.0,56743.0,52721.0,109464.0,112033.0,106501.0,218534.0,102159.0,103539.0,205698.0,112800.0,120523.0,233323.0,96284.0,118767.0,215051.0
64,565,Elmira (Corning),6675.0,6294.0,12969.0,7044.0,6107.0,13151.0,11964.0,12126.0,24090.0,24397.0,22688.0,47085.0,21008.0,20610.0,41618.0,26000.0,26442.0,52442.0,21644.0,25563.0,47207.0
65,566,Harrisburg-Lncstr-Leb-York,62209.0,58857.0,121066.0,61882.0,61167.0,123049.0,108080.0,100706.0,208786.0,217712.0,212454.0,430166.0,182154.0,183542.0,365696.0,202860.0,211381.0,414241.0,165087.0,206105.0,371192.0
66,567,Greenvll-Spart-Ashevll-And,375272.0,356447.0,731719.0,387778.0,373016.0,760794.0,657827.0,634931.0,1292758.0,1444809.0,1427457.0,2872266.0,1175168.0,1235237.0,2410405.0,1187447.0,1295069.0,2482516.0,932583.0,1192738.0,2125321.0
67,569,Harrisonburg,4327.0,4193.0,8520.0,4424.0,4457.0,8881.0,8462.0,7815.0,16277.0,16756.0,15422.0,32178.0,14834.0,14353.0,29187.0,17650.0,17965.0,35615.0,15374.0,17828.0,33202.0
68,570,Myrtle Beach-Florence,22698.0,21880.0,44578.0,23318.0,22164.0,45482.0,40913.0,39618.0,80531.0,80928.0,83283.0,164211.0,67757.0,73523.0,141280.0,77379.0,89269.0,166648.0,72132.0,88799.0,160931.0
69,571,Ft. Myers-Naples,180641.0,172029.0,352670.0,175781.0,172334.0,348115.0,306310.0,288688.0,594998.0,711084.0,683055.0,1394139.0,625459.0,631372.0,1256831.0,619554.0,678147.0,1297701.0,593114.0,735305.0,1328419.0
70,573,Roanoke-Lynchburg,20426.0,19204.0,39630.0,22308.0,21856.0,44164.0,38566.0,36496.0,75062.0,90927.0,83876.0,174803.0,71753.0,71756.0,143509.0,89763.0,94184.0,183947.0,81979.0,99054.0,181033.0
71,574,Johnstown-Altoona-St Colge,18129.0,16835.0,34964.0,19129.0,17927.0,37056.0,32480.0,31166.0,63646.0,93032.0,78795.0,171827.0,67905.0,60589.0,128494.0,79963.0,76887.0,156850.0,66710.0,81591.0,148301.0
72,575,Chattanooga,128329.0,121615.0,249944.0,129072.0,122394.0,251466.0,213432.0,205632.0,419064.0,487435.0,490050.0,977485.0,397688.0,405459.0,803147.0,389864.0,419508.0,809372.0,296066.0,375904.0,671970.0
73,576,Salisbury,11701.0,11383.0,23084.0,11045.0,11495.0,22540.0,20522.0,19361.0,39883.0,44355.0,43908.0,88263.0,33723.0,34791.0,68514.0,44543.0,50303.0,94846.0,48434.0,57567.0,106001.0
74,577,Wilkes Barre-Scranton-Hztn,161702.0,154030.0,315732.0,170072.0,164066.0,334138.0,302570.0,286085.0,588655.0,648192.0,607582.0,1255774.0,548310.0,538839.0,1087149.0,636484.0,650129.0,1286613.0,508521.0,634218.0,1142739.0
75,581,Terre Haute,11298.0,10667.0,21965.0,12087.0,11177.0,23264.0,18954.0,17742.0,36696.0,45370.0,39124.0,84494.0,35111.0,31603.0,66714.0,37569.0,36991.0,74560.0,29415.0,37414.0,66829.0
76,582,"Lafayette, In",6032.0,5792.0,11824.0,5683.0,5779.0,11462.0,9519.0,8977.0,18496.0,41213.0,34213.0,75426.0,15891.0,15637.0,31528.0,14553.0,15186.0,29739.0,10210.0,13312.0,23522.0
77,583,Alpena,822.0,836.0,1658.0,798.0,841.0,1639.0,1790.0,1567.0,3357.0,3228.0,2935.0,6163.0,3010.0,2990.0,6000.0,4769.0,4871.0,9640.0,4907.0,5463.0,10370.0
78,584,Charlottesville,5626.0,5544.0,11170.0,6073.0,5622.0,11695.0,9706.0,9784.0,19490.0,21720.0,23029.0,44749.0,17788.0,19010.0,36798.0,19654.0,22250.0,41904.0,17531.0,21798.0,39329.0
79,588,South Bend-Elkhart,104415.0,98301.0,202716.0,104951.0,98560.0,203511.0,169542.0,164839.0,334381.0,353747.0,354848.0,708595.0,280311.0,285129.0,565440.0,293253.0,309183.0,602436.0,214128.0,272441.0,486569.0
80,592,Gainesville,8864.0,8799.0,17663.0,9398.0,8687.0,18085.0,14154.0,13229.0,27383.0,55284.0,55712.0,110996.0,27517.0,27766.0,55283.0,27995.0,31168.0,59163.0,25266.0,30230.0,55496.0
81,596,Zanesville,2594.0,2571.0,5165.0,2675.0,2734.0,5409.0,4691.0,4269.0,8960.0,9113.0,9032.0,18145.0,7663.0,7911.0,15574.0,8574.0,9057.0,17631.0,6558.0,8591.0,15149.0
82,597,Parkersburg,4136.0,3954.0,8090.0,3897.0,3456.0,7353.0,7806.0,7816.0,15622.0,15044.0,14266.0,29310.0,13681.0,13872.0,27553.0,16153.0,16825.0,32978.0,13878.0,17277.0,31155.0
83,598,Clarksburg-Weston,7167.0,7018.0,14185.0,7463.0,7192.0,14655.0,12702.0,11973.0,24675.0,28712.0,26549.0,55261.0,25019.0,23714.0,48733.0,27704.0,28019.0,55723.0,25136.0,29531.0,54667.0
84,600,Corpus Christi,20659.0,19310.0,39969.0,20690.0,20239.0,40929.0,34808.0,32487.0,67295.0,76588.0,68513.0,145101.0,56551.0,53659.0,110210.0,52015.0,53544.0,105559.0,41368.0,50101.0,91469.0
