DMA Code,DMA Name,Universe,GDP,Median Household Income,Per Capita Income Per Capita Income,Median Housing Value,In Labor Force,Broadband Any Source,Total Bachelors Or Higher,Total Spanish Household,Owner Occupied,Default CPM
603,Joplin-Pittsburg,635270,2587376.584,47980.11432,25159.1423,110924.3131,306077,165614,86221,7667,426835,10.95823001
604,Columbia-Jefferson City,481908,4960685.949,56058.85088,28969.32009,164314.2581,238847,130730,100512,3830,317777,11.93136715
605,Topeka,462557,5210881.319,56697.05475,29576.84632,144560.6786,244415,138582,89248,9619,295303,8.55582698
606,Dothan,260574,3288038.368,48826.14357,26300.11622,133181.4571,117469,68204,35715,3337,168635,8.56513664
609,St. Louis,5322246,4553369.747,60861.10789,33219.57534,162952.8573,2692852,1595863,1119345,57911,3696779,9.74042293
610,Rockford,466608,9096725.106,57819.02196,30299.97353,127034.3612,240202,144696,72030,14155,325372,10.10284592
611,Rochestr-Mason City-Austin,375459,5801596.754,67839.73736,36109.01366,173766.8017,199965,118565,82490,5265,287980,12.75792142
612,Shreveport,1500709,2226725.57,46961.76759,26990.88843,123503.1459,672060,365595,199323,26011,995523,8.26389597
613,Minneapolis-St. Paul,9212376,51195763.57,75009.80901,39235.37401,240152.7614,5013668,2883530,2346439,133920,6673151,10.56088356
616,Kansas City,2557393,29187997.57,68018.70782,35280.55014,189623.406,1319526,777546,620659,49336,1725064,10.50062933
617,Milwaukee,2332331,32583296.04,65419.20196,35374.22749,203505.2673,1234716,724697,522061,61353,1509740,9.43268009
618,Houston,7345160,264804643,69604.46203,34633.73317,203142.1691,3522195,1904546,1554023,644522,4709941,12.70646456
619,"Springfield, Mo",1626824,5781532.506,51640.37003,27033.37562,148585.111,760704,441780,258681,16129,1115361,9.78643208
622,New Orleans,1795282,1328974.754,53588.26529,30983.82786,196718.3961,867073,483368,340067,41202,1207006,10.01624734
623,Dallas-Ft. Worth,8133670,145124606.9,72757.3964,35630.30722,222539.048,3983185,2174212,1831022,532166,5179510,12.15674813
624,Sioux City,3543934,2367596.09,62363.19892,32747.35775,154267.7618,1881743,1075328,677788,61296,2553464,11.00618554
625,Waco-Temple-Bryan,14725592,11266541.7,65413.73523,33007.41468,200632.6274,7128718,3827900,3054244,1276612,9173469,9.46195084
626,Victoria,92044,4602176,58959,29424,152900,45387,22335,11419,8160,61600,9.04753374
627,Wichita Falls & Lawton,420692,3646517.161,51342.8478,26951.86902,109192.3733,205783,112996,59952,14509,252580,8.70254835
628,Monroe-El Dorado,466173,1952661.331,41410.44526,23885.38526,115821.021,197787,106524,62065,3463,289378,7.16178484
630,Birmingham (Ann And Tusc),3986203,21261467.98,53669.53469,29509.22997,150154.8593,1821642,1071966,723480,47637,2812689,8.87791291
631,Ottumwa-Kirksville,125417,884051.8849,47138.41894,25747.95642,102788.0614,59693,33992,19139,1665,86520,29.58372107
